,Class,Name,PA,R,HR,RBI,SB,OBP,IP,QS,SV,SO,ERA,WHIP,Total_SGPs,Dollar_Value,True_Dollar_Value,Keeper,Salary
141,Hitter,J.T. Realmuto,537,69,23,75,6,0.329,x,x,x,x,x,x,8.433798675,11.63038444,12.34452402,,
142,Hitter,Matt Carpenter,540,72,21,59,5,0.352,x,x,x,x,x,x,8.418043602,11.60865787,12.3106528,,
143,Hitter,Gregory Polanco,556,67,22,71,9,0.325,x,x,x,x,x,x,8.387672995,11.56677617,12.24536021,,
144,Hitter,Miguel Cabrera,603,71,20,77,1,0.35,x,x,x,x,x,x,8.367691574,11.53922137,12.20240293,,
145,Hitter,Gary Sanchez,459,66,31,78,1,0.324,x,x,x,x,x,x,8.311521623,11.46176184,12.08164533,,
146,Hitter,Christian Walker,566,68,24,78,5,0.325,x,x,x,x,x,x,8.29503278,11.43902338,12.0461966,,
147,Hitter,C.J. Cron,530,68,28,79,2,0.324,x,x,x,x,x,x,8.255088788,11.38393978,11.96032257,,
148,Hitter,Mitch Haniger,555,70,22,65,6,0.335,x,x,x,x,x,x,8.212832234,11.32566711,11.86947684,,
149,Hitter,Renato Nunez,608,72,29,85,2,0.311,x,x,x,x,x,x,8.194657836,11.30060424,11.83040441,,
150,Pitcher,Luis Severino,x,x,x,x,x,x,171,18,0,186,3.98,1.21,8.176700273,11.29852538,11.82716352,,
151,Pitcher,Chris Paddack,x,x,x,x,x,x,166,16.5,0,178,3.87,1.17,8.165634751,11.28323509,11.80332632,,
152,Hitter,Andrelton Simmons,633,71,13,73,11,0.328,x,x,x,x,x,x,8.180146854,11.28059329,11.79920781,,
153,Hitter,Kole Calhoun,576,71,23,71,4,0.332,x,x,x,x,x,x,8.175284527,11.27388804,11.78875448,,
154,Hitter,Hunter Dozier,628,73,22,81,4,0.322,x,x,x,x,x,x,8.144008799,11.23075816,11.72151601,TRUE,1
155,Hitter,Daniel Murphy,549,70,20,77,2,0.341,x,x,x,x,x,x,8.119240657,11.19660237,11.66826794,TRUE,1
156,Hitter,Cesar Hernandez,578,71,11,56,9,0.356,x,x,x,x,x,x,8.114405535,11.18993464,11.6578731,TRUE,6
157,Hitter,Niko Goodrum,636,72,18,70,13,0.309,x,x,x,x,x,x,8.097084285,11.16604827,11.62063482,TRUE,7
158,Hitter,Yandy Diaz,586,69,13,63,5,0.361,x,x,x,x,x,x,8.088669804,11.15444453,11.60254485,TRUE,2
159,Hitter,Dansby Swanson,605,69,18,67,10,0.325,x,x,x,x,x,x,8.075767538,11.13665203,11.57480677,TRUE,3
160,Hitter,Didi Gregorius,600,70,24,83,6,0.308,x,x,x,x,x,x,8.056320107,11.10983362,11.53299749,TRUE,1
161,Hitter,Randal Grichuk,548,71,30,84,3,0.298,x,x,x,x,x,x,7.992161133,11.02135705,11.3950646,TRUE,4
162,Pitcher,Andrew Heaney,x,x,x,x,x,x,168,16.5,0,182,4.01,1.18,7.969410645,11.01209356,11.38062303,TRUE,14
163,Pitcher,Max Fried,x,x,x,x,x,x,172,18,0,178,3.6,1.29,7.967097681,11.00889752,11.37564048,TRUE,3
164,Pitcher,Lucas Giolito,x,x,x,x,x,x,191,18,0,219,4.26,1.27,7.948412672,10.98307866,11.33538949,TRUE,2
165,Hitter,Ryan McMahon,532,64,20,72,5,0.337,x,x,x,x,x,x,7.96214894,10.97996961,11.33054255,TRUE,6
166,Pitcher,Lance Lynn,x,x,x,x,x,x,192,18,0,207,4.07,1.28,7.922923532,10.94785789,11.28048113,TRUE,6
167,Pitcher,Zack Greinke,x,x,x,x,x,x,199,21,0,180,4.27,1.24,7.909266741,10.928987,11.25106186,TRUE,4
168,Hitter,Trent Grisham,522,66,18,56,10,0.335,x,x,x,x,x,x,7.91894674,10.92039288,11.23766382,,
169,Hitter,Kevin Kiermaier,555,63,17,62,18,0.302,x,x,x,x,x,x,7.918321625,10.91953083,11.23631991,,
170,Hitter,Justin Smoak,472,63,24,68,1,0.349,x,x,x,x,x,x,7.914186344,10.91382819,11.22742963,,
