,Class,Name,PA,R,HR,RBI,SB,OBP,IP,QS,SV,SO,ERA,WHIP,Total_SGPs,Dollar_Value,True_Dollar_Value,Keeper,Salary,Inflated_Value
67,Hitter,Keston Hiura,613,79,29,92,12,0.33,x,x,x,x,x,x,10.89539653,15.02497928,17.63661772,,,21.926269251801113
68,Pitcher,Mike Clevinger,x,x,x,x,x,x,197,21,0,238,3.65,1.18,10.85176757,14.99492059,17.58975693,True,14.0,18.762706586066344
69,Pitcher,Stephen Strasburg,x,x,x,x,x,x,200,21,0,228,3.59,1.17,10.84659242,14.98776959,17.5786087,,,18.750814951106495
70,Hitter,Whit Merrifield,688,90,14,65,23,0.337,x,x,x,x,x,x,10.85406652,14.96798433,17.54776393,,,21.81580407335742
71,Hitter,Shin-Soo Choo,665,92,23,69,10,0.356,x,x,x,x,x,x,10.81956714,14.92040896,17.47359506,,,21.723595542246738
72,Pitcher,Shane Bieber,x,x,x,x,x,x,198,21,0,215,3.66,1.13,10.77726003,14.89196643,17.42925381,,,18.59150052797852
73,Hitter,Justin Turner,620,87,26,85,3,0.364,x,x,x,x,x,x,10.73029253,14.79729741,17.28166703,True,14.0,21.484985978351983
74,Hitter,Lorenzo Cain,656,85,16,65,19,0.349,x,x,x,x,x,x,10.73006887,14.79698899,17.28118621,,,21.484388211311327
75,Hitter,Andrew McCutchen,590,83,27,74,8,0.359,x,x,x,x,x,x,10.71780414,14.78007567,17.25481874,,,21.45160753556684
76,Hitter,Miguel Sano,581,84,37,97,1,0.337,x,x,x,x,x,x,10.71390457,14.77469808,17.24643521,,,21.441184928523988
77,Hitter,Edwin Encarnacion,578,81,35,92,2,0.346,x,x,x,x,x,x,10.68312974,14.73225894,17.18027358,,,21.358931191636955
78,Hitter,Victor Robles,609,71,17,71,27,0.326,x,x,x,x,x,x,10.67712338,14.72397604,17.16736074,,,21.342877636973558
79,Hitter,Jose Abreu,658,87,32,101,3,0.333,x,x,x,x,x,x,10.6692149,14.71307009,17.15035861,,,21.321740178184545
80,Hitter,Vladimir Guerrero Jr.,622,86,25,87,3,0.363,x,x,x,x,x,x,10.63694433,14.668568300000002,17.08098137,True,13.0,21.23548871725608
81,Hitter,Adam Eaton,656,90,15,65,12,0.366,x,x,x,x,x,x,10.54666444,14.54407045,16.88689213,,,20.99419228487429
82,Pitcher,Blake Snell,x,x,x,x,x,x,179,19.5,0,224,3.41,1.18,10.52477096,14.54307824,16.8853453,,,18.011322198999505
83,Hitter,Khris Davis,628,85,38,103,1,0.321,x,x,x,x,x,x,10.45098682,14.41212901,16.68119853,,,20.738469031778102
84,Pitcher,Clayton Kershaw,x,x,x,x,x,x,194,21,0,198,3.53,1.16,10.32997323,14.27390767,16.4657147,True,1.0,17.563709087933336
85,Pitcher,Charlie Morton,x,x,x,x,x,x,192,19.5,0,221,3.5,1.19,10.318555900000002,14.25813125,16.44111964,True,1.0,17.537473938915465
86,Hitter,Mike Moustakas,626,82,36,97,3,0.323,x,x,x,x,x,x,10.28145151,14.17833628,16.31672116,True,21.0,20.28534195958751
87,Hitter,Max Muncy,589,81,29,79,4,0.355,x,x,x,x,x,x,10.27993649,14.17624704,16.31346407,,,20.281292666607914
88,Hitter,Byron Buxton,542,73,20,73,23,0.317,x,x,x,x,x,x,10.27659985,14.17164574,16.30629076,,,20.27237463430809
89,Hitter,Eddie Rosario,634,86,30,102,5,0.32,x,x,x,x,x,x,10.26721795,14.1587079,16.28612097,,,20.24729906407612
90,Pitcher,Jack Flaherty,x,x,x,x,x,x,192,18,0,229,3.6,1.17,10.19943751,14.09353403,16.18451643,,,17.26375948354051
91,Hitter,Mallex Smith,588,66,7,48,39,0.318,x,x,x,x,x,x,10.13701118,13.97915004,16.00619448,,,19.89928768865852
92,Hitter,Jeff McNeil,660,88,20,73,9,0.348,x,x,x,x,x,x,10.05558796,13.86686573,15.83114588,,,19.681663039948333
93,Hitter,Franmil Reyes,572,80,36,93,1,0.329,x,x,x,x,x,x,10.01733972,13.8141206,15.74891746,,,19.579434681558187
