,Class,Name,PA,R,HR,RBI,SB,OBP,IP,QS,SV,SO,ERA,WHIP,Total_SGPs,Dollar_Value,True_Dollar_Value,Keeper,Salary,Inflated_Value
372,Pitcher,Zach Eflin,x,x,x,x,x,x,146,12,0,120,5.05,1.38,2.821200212,3.898320977,1.0,,,1.0666836762289666
373,Pitcher,Ryne Stanek,x,x,x,x,x,x,65,0,5,83,3.58,1.22,2.817133681,3.8927018639999997,1.0,,,1.0666836762289666
374,Pitcher,Yoshihisa Hirano,x,x,x,x,x,x,60,0,21,55,4.62,1.39,2.816881931,3.892353996,1.0,,,1.0666836762289666
375,Pitcher,Ryan Pressly,x,x,x,x,x,x,65,0,2,78,3.36,1.15,2.738786298,3.784441824,1.0,,,1.0666836762289666
376,Pitcher,Chad Green,x,x,x,x,x,x,60,0,0,81,3.44,1.07,2.71700596,3.7543458569999997,1.0,,,1.0666836762289666
377,Pitcher,Ty Buttrey,x,x,x,x,x,x,65,0,5,75,3.56,1.2,2.7160797989999996,3.753066092,1.0,,,1.0666836762289666
378,Pitcher,Trent Thornton,x,x,x,x,x,x,93,7.5,0,90,4.64,1.31,2.707418095,3.7410973910000003,1.0,,,1.0666836762289666
379,Pitcher,Julio Teheran,x,x,x,x,x,x,179,15,0,155,5.3,1.46,2.679096706,3.701963032,1.0,,,1.0666836762289666
380,Pitcher,Daniel Hudson,x,x,x,x,x,x,67,0,15,69,4.36,1.36,2.649379077,3.6608993539999997,1.0,,,1.0666836762289666
381,Pitcher,Wade Davis,x,x,x,x,x,x,65,0,24,65,5.11,1.5,2.6445165680000002,3.654180362,1.0,,,1.0666836762289666
382,Pitcher,Joshua James,x,x,x,x,x,x,60,0,1,84,3.38,1.17,2.632308101,3.637310761,1.0,,,1.0666836762289666
383,Pitcher,Trevor Williams,x,x,x,x,x,x,167,12,0,135,5.02,1.42,2.60446146,3.598832405,1.0,,,1.0666836762289666
384,Pitcher,Homer Bailey,x,x,x,x,x,x,124,12,0,99,5.02,1.4,2.579939675,3.564948319,1.0,,,1.0666836762289666
385,Pitcher,Seth Lugo,x,x,x,x,x,x,65,0,2,75,3.54,1.15,2.55611848,3.532032306,1.0,,,1.0666836762289666
386,Pitcher,Michael Kopech,x,x,x,x,x,x,91,7.5,0,103,4.78,1.39,2.534549134,3.502227887,1.0,,,1.0666836762289666
387,Pitcher,Gio Gonzalez,x,x,x,x,x,x,133,12,0,114,4.9,1.47,2.490583919,3.441476963,1.0,,,1.0666836762289666
388,Pitcher,Kendall Graveman,x,x,x,x,x,x,137,10.5,0,103,4.78,1.4,2.489040705,3.439344557,1.0,,,1.0666836762289666
389,Pitcher,Tyler Chatwood,x,x,x,x,x,x,116,10.5,0,109,4.51,1.53,2.467458853,3.409522857,1.0,,,1.0666836762289666
390,Pitcher,Alec Mills,x,x,x,x,x,x,95,7.5,0,85,4.64,1.34,2.4414406019999997,3.373570962,1.0,,,1.0666836762289666
391,Pitcher,Justus Sheffield,x,x,x,x,x,x,148,10.5,0,131,4.8,1.48,2.392291346,3.305656755,1.0,,,1.0666836762289666
392,Pitcher,Will Harris,x,x,x,x,x,x,67,0,4,70,3.56,1.24,2.3747230669999997,3.2813809910000002,1.0,,,1.0666836762289666
393,Pitcher,Tommy Kahnle,x,x,x,x,x,x,68,0,0,86,3.61,1.21,2.358801019,3.25937998,1.0,,,1.0666836762289666
394,Pitcher,Kyle Freeland,x,x,x,x,x,x,154,13.5,0,128,5.08,1.49,2.3516965659999998,3.2495630810000002,1.0,,,1.0666836762289666
395,Pitcher,Ross Stripling,x,x,x,x,x,x,80,0,0,80,3.7,1.18,2.3459316709999998,3.241597178,1.0,,,1.0666836762289666
396,Pitcher,John Means,x,x,x,x,x,x,183,12,0,142,5.33,1.38,2.340762004,3.234453756,1.0,,,1.0666836762289666
397,Pitcher,Andrew Miller,x,x,x,x,x,x,68,0,2,80,3.65,1.24,2.319840365,3.2055443360000004,1.0,,,1.0666836762289666
398,Pitcher,Hunter Harvey,x,x,x,x,x,x,60,0,14,62,4.61,1.35,2.318940071,3.2043003139999997,1.0,,,1.0666836762289666
399,Pitcher,Blake Treinen,x,x,x,x,x,x,62,0,4,67,3.45,1.25,2.318300793,3.203416962,1.0,,,1.0666836762289666
400,Pitcher,Zach Plesac,x,x,x,x,x,x,119,10.5,0,97,5.07,1.39,2.312245694,3.195050055,1.0,,,1.0666836762289666
401,Pitcher,Drew Pomeranz,x,x,x,x,x,x,58,0,1,73,3.4,1.19,2.296900532,3.173846184,1.0,,,1.0666836762289666
402,Pitcher,Alex Cobb,x,x,x,x,x,x,181,13.5,0,129,5.17,1.43,2.229399227,3.080573203,1.0,,,1.0666836762289666
403,Pitcher,Shaun Anderson,x,x,x,x,x,x,60,0,8,55,3.85,1.26,2.216245464,3.062397396,1.0,,,1.0666836762289666
404,Pitcher,Joe Ross,x,x,x,x,x,x,108,9,0,90,4.85,1.41,2.148623171,2.968957234,1.0,,,1.0666836762289666
405,Pitcher,Corey Knebel,x,x,x,x,x,x,45,0,4,62,3.53,1.22,2.137991951,2.9542670660000003,1.0,,,1.0666836762289666
