,Class,Name,PA,R,HR,RBI,SB,OBP,IP,QS,SV,SO,ERA,WHIP,Total_SGPs
226,Hitter,Nick Ahmed,600.0,61.0,18.0,70.0,7.0,0.304,x,x,x,x,x,x,6.637416996928684
227,Pitcher,Kirby Yates,x,x,x,x,x,x,65.0,0.0,32.0,89.0,3.21,1.09,6.614742164880668
228,Pitcher,Liam Hendriks,x,x,x,x,x,x,70.0,0.0,30.0,92.0,3.18,1.08,6.592386101363617
229,Hitter,Eric Thames,439.0,55.0,19.0,57.0,4.0,0.33,x,x,x,x,x,x,6.585998896598152
230,Pitcher,Madison Bumgarner,x,x,x,x,x,x,199.0,16.5,0.0,192.0,4.51,1.27,6.578463877501691
231,Pitcher,James Paxton,x,x,x,x,x,x,126.0,13.5,0.0,147.0,3.86,1.19,6.567312486818493
232,Hitter,Mauricio Dubon,556.0,55.0,14.0,58.0,13.0,0.305,x,x,x,x,x,x,6.543440418146244
233,Pitcher,Hyun-Jin Ryu,x,x,x,x,x,x,186.0,16.5,0.0,165.0,4.26,1.26,6.5431579767706065
234,Hitter,Domingo Santana,416.0,52.0,17.0,54.0,5.0,0.33799999999999997,x,x,x,x,x,x,6.5279777304353654
235,Hitter,Jake Lamb,463.0,54.0,18.0,58.0,3.0,0.336,x,x,x,x,x,x,6.512925794088023
236,Hitter,Travis Shaw,434.0,54.0,20.0,58.0,3.0,0.32899999999999996,x,x,x,x,x,x,6.501643483707655
237,Hitter,Victor Reyes,522.0,58.0,10.0,51.0,15.0,0.308,x,x,x,x,x,x,6.500914811212602
238,Pitcher,Jon Gray,x,x,x,x,x,x,186.0,16.5,0.0,190.0,4.32,1.32,6.487261851073476
239,Pitcher,Dylan Bundy,x,x,x,x,x,x,178.0,16.5,0.0,177.0,4.47,1.26,6.483253185966007
240,Pitcher,Miles Mikolas,x,x,x,x,x,x,192.0,16.5,0.0,153.0,4.2,1.25,6.456311858086234
241,Hitter,Gavin Lux,451.0,52.0,14.0,55.0,8.0,0.32799999999999996,x,x,x,x,x,x,6.441570761750348
242,Pitcher,Garrett Richards,x,x,x,x,x,x,165.0,15.0,0.0,171.0,3.9,1.33,6.434593932527045
243,Pitcher,Lance McCullers Jr.,x,x,x,x,x,x,138.0,15.0,0.0,149.0,3.77,1.29,6.427427655454251
244,Pitcher,Jesus Luzardo,x,x,x,x,x,x,149.0,15.0,0.0,151.0,3.98,1.26,6.397916677622527
245,Hitter,Giovanny Urshela,550.0,64.0,18.0,70.0,2.0,0.311,x,x,x,x,x,x,6.391282465338351
246,Pitcher,Craig Kimbrel,x,x,x,x,x,x,65.0,0.0,35.0,90.0,3.58,1.2,6.378418790780261
247,Pitcher,Jose Urquidy,x,x,x,x,x,x,168.0,16.5,0.0,164.0,4.48,1.24,6.370797102410837
248,Hitter,Nick Solak,424.0,51.0,15.0,55.0,5.0,0.33899999999999997,x,x,x,x,x,x,6.370472713192529
249,Hitter,Alex Gordon,498.0,57.0,13.0,56.0,5.0,0.33399999999999996,x,x,x,x,x,x,6.341624467644123
250,Hitter,Starlin Castro,502.0,58.0,15.0,66.0,3.0,0.324,x,x,x,x,x,x,6.337547510226347
251,Hitter,Christin Stewart,494.0,59.0,19.0,60.0,1.0,0.327,x,x,x,x,x,x,6.328539729980968
252,Pitcher,Kenley Jansen,x,x,x,x,x,x,65.0,0.0,37.0,75.0,3.84,1.13,6.32513300353805
253,Hitter,Mitch Moreland,442.0,54.0,22.0,64.0,1.0,0.317,x,x,x,x,x,x,6.281074565301296
254,Hitter,Austin Hays,446.0,53.0,19.0,59.0,8.0,0.299,x,x,x,x,x,x,6.2676391312955335
255,Hitter,Maikel Franco,442.0,54.0,19.0,61.0,1.0,0.33,x,x,x,x,x,x,6.263789760204385
256,Hitter,David Fletcher,549.0,65.0,6.0,51.0,8.0,0.33299999999999996,x,x,x,x,x,x,6.260312739516077
257,Pitcher,Jake Odorizzi,x,x,x,x,x,x,172.0,18.0,0.0,179.0,4.59,1.31,6.260232032592665
258,Hitter,Willson Contreras,408.0,50.0,16.0,56.0,3.0,0.342,x,x,x,x,x,x,6.2449936151705066
259,Hitter,Steven Souza Jr.,376.0,49.0,17.0,51.0,6.0,0.33,x,x,x,x,x,x,6.23438177700578
260,Hitter,Tyler O'Neill,449.0,53.0,22.0,63.0,5.0,0.297,x,x,x,x,x,x,6.194669144879104
261,Pitcher,Marcus Stroman,x,x,x,x,x,x,179.0,16.5,0.0,154.0,3.9,1.35,6.161672679831414
262,Hitter,Hanser Alberto,582.0,63.0,12.0,61.0,6.0,0.315,x,x,x,x,x,x,6.140873073519194
263,Hitter,Buster Posey,518.0,56.0,11.0,56.0,2.0,0.34700000000000003,x,x,x,x,x,x,6.10980255026268
264,Hitter,Evan White,526.0,58.0,19.0,63.0,3.0,0.31,x,x,x,x,x,x,6.104305279484544
265,Hitter,Nick Markakis,462.0,53.0,11.0,57.0,1.0,0.355,x,x,x,x,x,x,6.075074723338738
266,Hitter,Miguel Rojas,588.0,58.0,9.0,54.0,8.0,0.325,x,x,x,x,x,x,6.035378854126447
267,Pitcher,Joe Musgrove,x,x,x,x,x,x,179.0,15.0,0.0,163.0,4.27,1.28,6.0331430211968655
268,Pitcher,Roberto Osuna,x,x,x,x,x,x,65.0,0.0,33.0,76.0,3.64,1.13,6.030636466326183
269,Hitter,Alex Dickerson,461.0,51.0,14.0,57.0,3.0,0.336,x,x,x,x,x,x,5.9880796190965135
270,Pitcher,Kyle Hendricks,x,x,x,x,x,x,179.0,16.5,0.0,151.0,4.32,1.28,5.981397029083627
271,Hitter,Brian Dozier,402.0,50.0,17.0,49.0,5.0,0.326,x,x,x,x,x,x,5.947387641164274
272,Hitter,Kevin Pillar,455.0,50.0,14.0,56.0,10.0,0.302,x,x,x,x,x,x,5.928850710584156
273,Hitter,Luis Urias,493.0,52.0,13.0,55.0,4.0,0.33299999999999996,x,x,x,x,x,x,5.914728606448383
274,Pitcher,Joey Lucchesi,x,x,x,x,x,x,185.0,16.5,0.0,177.0,4.34,1.35,5.913878561834407
275,Pitcher,Brad Hand,x,x,x,x,x,x,65.0,0.0,33.0,80.0,3.68,1.19,5.900625922050522
276,Pitcher,Taylor Rogers,x,x,x,x,x,x,65.0,0.0,31.0,77.0,3.44,1.16,5.8621053976740285
277,Pitcher,Zac Gallen,x,x,x,x,x,x,145.0,13.5,0.0,159.0,4.21,1.28,5.827763284780365
278,Pitcher,Johnny Cueto,x,x,x,x,x,x,182.0,15.0,0.0,156.0,4.2,1.3,5.817886377568073
279,Pitcher,Kevin Gausman,x,x,x,x,x,x,155.0,13.5,0.0,146.0,4.05,1.27,5.8165968128032475
280,Pitcher,Ken Giles,x,x,x,x,x,x,65.0,0.0,30.0,82.0,3.57,1.16,5.778651893043662
281,Pitcher,Jose Quintana,x,x,x,x,x,x,177.0,16.5,0.0,158.0,4.31,1.33,5.752474707669904
282,Pitcher,Masahiro Tanaka,x,x,x,x,x,x,183.0,16.5,0.0,160.0,4.54,1.29,5.71630547472931
283,Pitcher,Cole Hamels,x,x,x,x,x,x,164.0,15.0,0.0,160.0,4.25,1.33,5.659244464126021
284,Pitcher,Mike Minor,x,x,x,x,x,x,201.0,16.5,0.0,186.0,4.64,1.33,5.651938605288359
285,Pitcher,Hector Neris,x,x,x,x,x,x,65.0,0.0,31.0,82.0,3.86,1.2,5.5745063383418385
286,Pitcher,Josh Lindblom,x,x,x,x,x,x,178.0,15.0,0.0,174.0,4.62,1.3,5.545102560754148
287,Pitcher,Julio Urias,x,x,x,x,x,x,127.0,13.5,0.0,134.0,3.99,1.3,5.4601244609806985
288,Pitcher,Caleb Smith,x,x,x,x,x,x,179.0,13.5,0.0,189.0,4.6,1.32,5.443111113164689
289,Pitcher,Steven Matz,x,x,x,x,x,x,159.0,15.0,0.0,153.0,4.36,1.32,5.438994989421314
290,Pitcher,Jose Leclerc,x,x,x,x,x,x,68.0,0.0,29.0,93.0,3.75,1.28,5.414554705160868
291,Pitcher,Raisel Iglesias,x,x,x,x,x,x,65.0,0.0,31.0,78.0,3.9,1.22,5.395076886304676
292,Pitcher,Nathan Eovaldi,x,x,x,x,x,x,143.0,15.0,0.0,136.0,4.27,1.31,5.335187269713915
293,Pitcher,Shohei Ohtani,x,x,x,x,x,x,101.0,10.5,0.0,123.0,3.74,1.22,5.294053323571608
294,Pitcher,Nick Anderson,x,x,x,x,x,x,65.0,0.0,20.0,89.0,3.25,1.08,5.284995692366695
295,Pitcher,Brandon Workman,x,x,x,x,x,x,68.0,0.0,32.0,82.0,3.89,1.32,5.2746296842933935
296,Pitcher,Griffin Canning,x,x,x,x,x,x,135.0,13.5,0.0,139.0,4.36,1.28,5.2157002861798665
297,Pitcher,Keone Kela,x,x,x,x,x,x,65.0,0.0,27.0,81.0,3.63,1.22,5.190202612961094
298,Pitcher,Archie Bradley,x,x,x,x,x,x,65.0,0.0,33.0,72.0,3.94,1.31,5.1680144593486395
299,Pitcher,Pablo Lopez,x,x,x,x,x,x,157.0,13.5,0.0,135.0,4.18,1.3,5.159984080743789
300,Pitcher,Anthony DeSclafani,x,x,x,x,x,x,153.0,13.5,0.0,151.0,4.51,1.29,5.129409493673026
301,Pitcher,Mitch Keller,x,x,x,x,x,x,140.0,12.0,0.0,149.0,4.16,1.32,5.120848964995741
302,Pitcher,Luke Weaver,x,x,x,x,x,x,134.0,12.0,0.0,138.0,4.25,1.28,5.038474831706581
303,Pitcher,Kenta Maeda,x,x,x,x,x,x,154.0,15.0,0.0,156.0,4.66,1.33,5.029950441285626
304,Pitcher,A.J. Puk,x,x,x,x,x,x,126.0,12.0,0.0,137.0,4.14,1.33,4.870948034151865
305,Pitcher,Mike Foltynewicz,x,x,x,x,x,x,181.0,15.0,0.0,170.0,4.73,1.35,4.837660337195077
306,Pitcher,Dallas Keuchel,x,x,x,x,x,x,197.0,18.0,0.0,150.0,4.39,1.42,4.818144520976965
307,Pitcher,Carlos Martinez,x,x,x,x,x,x,128.0,10.5,7.0,121.0,4.15,1.36,4.79250285098949
308,Pitcher,Joe Jimenez,x,x,x,x,x,x,65.0,0.0,29.0,76.0,4.2,1.27,4.77358031409179
309,Pitcher,Ian Kennedy,x,x,x,x,x,x,65.0,0.0,31.0,66.0,4.35,1.25,4.741303304477577
310,Pitcher,Rick Porcello,x,x,x,x,x,x,165.0,13.5,0.0,148.0,4.62,1.31,4.676553818595339
311,Pitcher,Tony Watson,x,x,x,x,x,x,68.0,0.0,28.0,63.0,3.88,1.26,4.614196864256415
312,Pitcher,Jakob Junis,x,x,x,x,x,x,182.0,15.0,0.0,160.0,4.78,1.34,4.605426985726679
313,Pitcher,Kyle Gibson,x,x,x,x,x,x,174.0,15.0,0.0,157.0,4.45,1.41,4.580834654729867
314,Pitcher,Sean Manaea,x,x,x,x,x,x,162.0,15.0,0.0,133.0,4.58,1.33,4.5707202523042865
315,Pitcher,Yonny Chirinos,x,x,x,x,x,x,135.0,12.0,0.0,118.0,4.27,1.28,4.564061816213783
316,Pitcher,Giovanny Gallegos,x,x,x,x,x,x,65.0,0.0,21.0,77.0,3.71,1.17,4.542654243703626
317,Pitcher,Alex Colome,x,x,x,x,x,x,65.0,0.0,31.0,65.0,4.24,1.33,4.531755441438634
318,Pitcher,Danny Duffy,x,x,x,x,x,x,184.0,15.0,0.0,159.0,4.73,1.36,4.479579258738526
319,Pitcher,Alex Wood,x,x,x,x,x,x,119.0,12.0,0.0,103.0,4.06,1.29,4.460416001994834
320,Pitcher,Adrian Houser,x,x,x,x,x,x,155.0,13.5,0.0,145.0,4.45,1.38,4.4194069490339185
321,Pitcher,Marco Gonzales,x,x,x,x,x,x,193.0,15.0,0.0,147.0,4.62,1.35,4.40521149250865
322,Pitcher,Jon Lester,x,x,x,x,x,x,176.0,15.0,0.0,158.0,4.73,1.38,4.373989384017563
323,Pitcher,Mark Melancon,x,x,x,x,x,x,65.0,0.0,26.0,61.0,3.72,1.29,4.349189552002959
324,Pitcher,Brendan McKay,x,x,x,x,x,x,92.0,9.0,0.0,101.0,3.91,1.22,4.314579500388451
325,Pitcher,Chris Bassitt,x,x,x,x,x,x,124.0,12.0,0.0,114.0,4.41,1.3,4.225282272660734
326,Pitcher,Vince Velasquez,x,x,x,x,x,x,119.0,10.5,0.0,130.0,4.54,1.29,4.219460142052455
327,Pitcher,Michael Pineda,x,x,x,x,x,x,129.0,12.0,0.0,117.0,4.63,1.29,4.058568928891906
328,Pitcher,Brad Peacock,x,x,x,x,x,x,119.0,12.0,0.0,126.0,4.63,1.34,4.04138216736329
329,Pitcher,Jeff Samardzija,x,x,x,x,x,x,191.0,13.5,0.0,153.0,4.75,1.35,4.031670601804094
330,Pitcher,Sean Newcomb,x,x,x,x,x,x,131.0,12.0,0.0,132.0,4.37,1.4,4.0181992950707235
331,Pitcher,Brandon Kintzler,x,x,x,x,x,x,65.0,0.0,27.0,54.0,4.0,1.33,3.9953631076645557
332,Pitcher,Hansel Robles,x,x,x,x,x,x,65.0,0.0,23.0,71.0,4.21,1.27,3.9875052867924157
333,Pitcher,Drew Smyly,x,x,x,x,x,x,121.0,10.5,0.0,123.0,4.46,1.32,3.9702819767284576
334,Pitcher,Dustin May,x,x,x,x,x,x,102.0,10.5,0.0,89.0,4.07,1.27,3.9684512067671496
335,Pitcher,Reynaldo Lopez,x,x,x,x,x,x,159.0,13.5,0.0,148.0,4.97,1.35,3.9052837377778333
336,Pitcher,Yusei Kikuchi,x,x,x,x,x,x,173.0,13.5,0.0,141.0,4.74,1.37,3.7931356412148323
337,Pitcher,Sean Doolittle,x,x,x,x,x,x,60.0,0.0,19.0,66.0,4.07,1.2,3.7346477426852087
338,Pitcher,Wade Miley,x,x,x,x,x,x,147.0,13.5,0.0,129.0,4.47,1.44,3.690542933873159
339,Pitcher,Aaron Civale,x,x,x,x,x,x,148.0,13.5,0.0,116.0,4.81,1.33,3.6823400870110263
340,Pitcher,Adam Wainwright,x,x,x,x,x,x,145.0,12.0,0.0,123.0,4.45,1.39,3.6500158705069015
341,Pitcher,Eric Lauer,x,x,x,x,x,x,148.0,13.5,0.0,135.0,4.79,1.4,3.6473535382121525
342,Pitcher,Mike Leake,x,x,x,x,x,x,175.0,13.5,0.0,119.0,4.7,1.34,3.588300095101256
343,Pitcher,Nick Pivetta,x,x,x,x,x,x,93.0,7.5,0.0,102.0,4.18,1.27,3.5714770571431482
344,Pitcher,Spencer Turnbull,x,x,x,x,x,x,139.0,12.0,0.0,127.0,4.65,1.39,3.533000103035686
345,Pitcher,Martin Perez,x,x,x,x,x,x,162.0,15.0,0.0,126.0,4.62,1.44,3.525266464489307
346,Pitcher,Will Smith,x,x,x,x,x,x,65.0,0.0,8.0,84.0,3.38,1.16,3.4956205483807126
347,Pitcher,Jake Arrieta,x,x,x,x,x,x,168.0,13.5,0.0,139.0,4.75,1.41,3.473980626228604
348,Pitcher,J.A. Happ,x,x,x,x,x,x,114.0,10.5,0.0,108.0,4.66,1.32,3.46342479967651
349,Pitcher,Dylan Cease,x,x,x,x,x,x,108.0,10.5,0.0,115.0,4.52,1.41,3.3467770892881576
350,Pitcher,Ryan Yarbrough,x,x,x,x,x,x,121.0,10.5,0.0,98.0,4.53,1.32,3.3320198766225135
351,Pitcher,Sandy Alcantara,x,x,x,x,x,x,188.0,13.5,0.0,157.0,4.76,1.45,3.271794301249052
352,Pitcher,Mychal Givens,x,x,x,x,x,x,65.0,0.0,14.0,76.0,4.0,1.26,3.264116443409109
353,Pitcher,Tanner Roark,x,x,x,x,x,x,181.0,13.5,0.0,153.0,5.15,1.38,3.213887969818817
354,Pitcher,Matt Shoemaker,x,x,x,x,x,x,145.0,12.0,0.0,128.0,5.03,1.36,3.1771487512863015
355,Pitcher,Anibal Sanchez,x,x,x,x,x,x,163.0,13.5,0.0,140.0,5.06,1.4,3.1650072976859414
356,Pitcher,Jose Urena,x,x,x,x,x,x,149.0,10.5,0.0,119.0,4.55,1.38,3.156424722961177
357,Pitcher,Jordan Yamamoto,x,x,x,x,x,x,135.0,10.5,0.0,128.0,4.72,1.4,3.1482943552807194
358,Pitcher,Brad Keller,x,x,x,x,x,x,182.0,15.0,0.0,137.0,4.74,1.47,3.0721505207461517
359,Pitcher,Daniel Norris,x,x,x,x,x,x,147.0,12.0,0.0,127.0,4.93,1.39,3.0596492860424
360,Pitcher,Matt Barnes,x,x,x,x,x,x,68.0,0.0,4.0,93.0,3.38,1.23,3.0474298389923775
361,Pitcher,Merrill Kelly,x,x,x,x,x,x,109.0,9.0,0.0,101.0,4.57,1.34,3.0404759282267246
362,Pitcher,Elieser Hernandez,x,x,x,x,x,x,93.0,7.5,0.0,94.0,4.48,1.29,3.031640586408269
363,Pitcher,Dellin Betances,x,x,x,x,x,x,55.0,0.0,4.0,78.0,3.07,1.15,3.0054441346118113
364,Pitcher,Jose Alvarado,x,x,x,x,x,x,60.0,0.0,9.0,76.0,3.32,1.3,2.9921720529193907
365,Pitcher,Logan Webb,x,x,x,x,x,x,99.0,9.0,0.0,87.0,4.2,1.38,2.9761461335023
366,Pitcher,Brett Anderson,x,x,x,x,x,x,143.0,13.5,0.0,95.0,4.54,1.43,2.951746363838989
367,Pitcher,Chad Kuhl,x,x,x,x,x,x,108.0,9.0,0.0,105.0,4.61,1.37,2.9405136672112335
368,Pitcher,Mike Fiers,x,x,x,x,x,x,188.0,15.0,0.0,144.0,5.21,1.4,2.9379322342766576
369,Pitcher,Diego Castillo,x,x,x,x,x,x,60.0,0.0,5.0,73.0,3.26,1.17,2.90389491016179
370,Pitcher,Dakota Hudson,x,x,x,x,x,x,166.0,13.5,0.0,126.0,4.54,1.5,2.8378732332906096
371,Pitcher,Emilio Pagan,x,x,x,x,x,x,65.0,0.0,1.0,83.0,3.51,1.09,2.83596274071189
372,Pitcher,Zach Eflin,x,x,x,x,x,x,146.0,12.0,0.0,120.0,5.05,1.38,2.821200211770445
373,Pitcher,Ryne Stanek,x,x,x,x,x,x,65.0,0.0,5.0,83.0,3.58,1.22,2.8171336810575918
374,Pitcher,Yoshihisa Hirano,x,x,x,x,x,x,60.0,0.0,21.0,55.0,4.62,1.39,2.816881930682366
375,Pitcher,Ryan Pressly,x,x,x,x,x,x,65.0,0.0,2.0,78.0,3.36,1.15,2.738786297959381
376,Pitcher,Chad Green,x,x,x,x,x,x,60.0,0.0,0.0,81.0,3.44,1.07,2.717005959678417
377,Pitcher,Ty Buttrey,x,x,x,x,x,x,65.0,0.0,5.0,75.0,3.56,1.2,2.7160797991437398
378,Pitcher,Trent Thornton,x,x,x,x,x,x,93.0,7.5,0.0,90.0,4.64,1.31,2.7074180948997983
379,Pitcher,Julio Teheran,x,x,x,x,x,x,179.0,15.0,0.0,155.0,5.3,1.46,2.679096706410303
380,Pitcher,Daniel Hudson,x,x,x,x,x,x,67.0,0.0,15.0,69.0,4.36,1.36,2.6493790773984323
381,Pitcher,Wade Davis,x,x,x,x,x,x,65.0,0.0,24.0,65.0,5.11,1.5,2.644516568381853
382,Pitcher,Joshua James,x,x,x,x,x,x,60.0,0.0,1.0,84.0,3.38,1.17,2.632308101426241
383,Pitcher,Trevor Williams,x,x,x,x,x,x,167.0,12.0,0.0,135.0,5.02,1.42,2.6044614599240496
384,Pitcher,Homer Bailey,x,x,x,x,x,x,124.0,12.0,0.0,99.0,5.02,1.4,2.5799396748317553
385,Pitcher,Seth Lugo,x,x,x,x,x,x,65.0,0.0,2.0,75.0,3.54,1.15,2.5561184804209174
386,Pitcher,Michael Kopech,x,x,x,x,x,x,91.0,7.5,0.0,103.0,4.78,1.39,2.534549134002895
387,Pitcher,Gio Gonzalez,x,x,x,x,x,x,133.0,12.0,0.0,114.0,4.9,1.47,2.490583919277814
388,Pitcher,Kendall Graveman,x,x,x,x,x,x,137.0,10.5,0.0,103.0,4.78,1.4,2.4890407054811665
389,Pitcher,Tyler Chatwood,x,x,x,x,x,x,116.0,10.5,0.0,109.0,4.51,1.53,2.467458852884803
390,Pitcher,Alec Mills,x,x,x,x,x,x,95.0,7.5,0.0,85.0,4.64,1.34,2.44144060234571
391,Pitcher,Justus Sheffield,x,x,x,x,x,x,148.0,10.5,0.0,131.0,4.8,1.48,2.392291346412786
392,Pitcher,Will Harris,x,x,x,x,x,x,67.0,0.0,4.0,70.0,3.56,1.24,2.374723067001576
393,Pitcher,Tommy Kahnle,x,x,x,x,x,x,68.0,0.0,0.0,86.0,3.61,1.21,2.3588010186878936
394,Pitcher,Kyle Freeland,x,x,x,x,x,x,154.0,13.5,0.0,128.0,5.08,1.49,2.351696565784636
395,Pitcher,Ross Stripling,x,x,x,x,x,x,80.0,0.0,0.0,80.0,3.7,1.18,2.345931671364748
396,Pitcher,John Means,x,x,x,x,x,x,183.0,12.0,0.0,142.0,5.33,1.38,2.3407620038103905
397,Pitcher,Andrew Miller,x,x,x,x,x,x,68.0,0.0,2.0,80.0,3.65,1.24,2.3198403654493616
398,Pitcher,Hunter Harvey,x,x,x,x,x,x,60.0,0.0,14.0,62.0,4.61,1.35,2.3189400714788486
399,Pitcher,Blake Treinen,x,x,x,x,x,x,62.0,0.0,4.0,67.0,3.45,1.25,2.3183007929670914
400,Pitcher,Zach Plesac,x,x,x,x,x,x,119.0,10.5,0.0,97.0,5.07,1.39,2.3122456938544036
401,Pitcher,Drew Pomeranz,x,x,x,x,x,x,58.0,0.0,1.0,73.0,3.4,1.19,2.296900532310531
402,Pitcher,Alex Cobb,x,x,x,x,x,x,181.0,13.5,0.0,129.0,5.17,1.43,2.2293992270218506
403,Pitcher,Shaun Anderson,x,x,x,x,x,x,60.0,0.0,8.0,55.0,3.85,1.26,2.216245464086794
404,Pitcher,Joe Ross,x,x,x,x,x,x,108.0,9.0,0.0,90.0,4.85,1.41,2.1486231705779426
405,Pitcher,Corey Knebel,x,x,x,x,x,x,45.0,0.0,4.0,62.0,3.53,1.22,2.137991951440349
