,Class,Name,PA,R,HR,RBI,SB,OBP,IP,QS,SV,SO,ERA,WHIP,Total_SGPs
134,Hitter,Aristides Aquino,552.0,68.0,32.0,87.0,7.0,0.295,x,x,x,x,x,x,8.609720267526551
135,Hitter,Eric Hosmer,642.0,76.0,24.0,82.0,3.0,0.327,x,x,x,x,x,x,8.53348705198897
136,Pitcher,David Price,x,x,x,x,x,x,164.0,18.0,0.0,175.0,3.69,1.19,8.508027314348947
137,Pitcher,Tyler Glasnow,x,x,x,x,x,x,163.0,16.5,0.0,202.0,3.69,1.23,8.503322695491828
138,Hitter,Willie Calhoun,549.0,71.0,25.0,79.0,2.0,0.335,x,x,x,x,x,x,8.47892722350754
139,Hitter,Danny Santana,579.0,69.0,20.0,70.0,18.0,0.295,x,x,x,x,x,x,8.445865422096192
140,Hitter,Brandon Belt,566.0,69.0,18.0,64.0,5.0,0.358,x,x,x,x,x,x,8.439816642780686
141,Hitter,J.T. Realmuto,537.0,69.0,23.0,75.0,6.0,0.32899999999999996,x,x,x,x,x,x,8.433798674819206
142,Hitter,Matt Carpenter,540.0,72.0,21.0,59.0,5.0,0.35200000000000004,x,x,x,x,x,x,8.418043601580194
143,Hitter,Gregory Polanco,556.0,67.0,22.0,71.0,9.0,0.325,x,x,x,x,x,x,8.387672994545605
144,Hitter,Miguel Cabrera,603.0,71.0,20.0,77.0,1.0,0.35,x,x,x,x,x,x,8.367691573924665
145,Hitter,Gary Sanchez,459.0,66.0,31.0,78.0,1.0,0.324,x,x,x,x,x,x,8.311521623180894
146,Hitter,Christian Walker,566.0,68.0,24.0,78.0,5.0,0.325,x,x,x,x,x,x,8.295032780090148
147,Hitter,C.J. Cron,530.0,68.0,28.0,79.0,2.0,0.324,x,x,x,x,x,x,8.255088788011927
148,Hitter,Mitch Haniger,555.0,70.0,22.0,65.0,6.0,0.335,x,x,x,x,x,x,8.21283223351677
149,Hitter,Renato Nunez,608.0,72.0,29.0,85.0,2.0,0.311,x,x,x,x,x,x,8.194657835597823
150,Hitter,Andrelton Simmons,633.0,71.0,13.0,73.0,11.0,0.32799999999999996,x,x,x,x,x,x,8.18014685377916
151,Pitcher,Luis Severino,x,x,x,x,x,x,171.0,18.0,0.0,186.0,3.98,1.21,8.176700273360808
152,Hitter,Kole Calhoun,576.0,71.0,23.0,71.0,4.0,0.332,x,x,x,x,x,x,8.175284526596366
153,Pitcher,Chris Paddack,x,x,x,x,x,x,166.0,16.5,0.0,178.0,3.87,1.17,8.1656347512795
154,Hitter,Hunter Dozier,628.0,73.0,22.0,81.0,4.0,0.322,x,x,x,x,x,x,8.14400879948185
155,Hitter,Daniel Murphy,549.0,70.0,20.0,77.0,2.0,0.341,x,x,x,x,x,x,8.119240656751723
156,Hitter,Cesar Hernandez,578.0,71.0,11.0,56.0,9.0,0.35600000000000004,x,x,x,x,x,x,8.114405534693072
157,Hitter,Niko Goodrum,636.0,72.0,18.0,70.0,13.0,0.309,x,x,x,x,x,x,8.09708428462338
158,Hitter,Yandy Diaz,586.0,69.0,13.0,63.0,5.0,0.361,x,x,x,x,x,x,8.088669803744503
159,Hitter,Dansby Swanson,605.0,69.0,18.0,67.0,10.0,0.325,x,x,x,x,x,x,8.075767537788437
160,Hitter,Didi Gregorius,600.0,70.0,24.0,83.0,6.0,0.308,x,x,x,x,x,x,8.056320107189327
161,Hitter,Randal Grichuk,548.0,71.0,30.0,84.0,3.0,0.298,x,x,x,x,x,x,7.992161132956201
162,Pitcher,Andrew Heaney,x,x,x,x,x,x,168.0,16.5,0.0,182.0,4.01,1.18,7.969410644794433
163,Pitcher,Max Fried,x,x,x,x,x,x,172.0,18.0,0.0,178.0,3.6,1.29,7.967097681033536
164,Hitter,Ryan McMahon,532.0,64.0,20.0,72.0,5.0,0.337,x,x,x,x,x,x,7.962148939582595
165,Pitcher,Lucas Giolito,x,x,x,x,x,x,191.0,18.0,0.0,219.0,4.26,1.27,7.948412671893996
166,Pitcher,Lance Lynn,x,x,x,x,x,x,192.0,18.0,0.0,207.0,4.07,1.28,7.922923531738154
167,Hitter,Trent Grisham,522.0,66.0,18.0,56.0,10.0,0.335,x,x,x,x,x,x,7.918946739641595
168,Hitter,Kevin Kiermaier,555.0,63.0,17.0,62.0,18.0,0.302,x,x,x,x,x,x,7.918321624581279
169,Hitter,Justin Smoak,472.0,63.0,24.0,68.0,1.0,0.349,x,x,x,x,x,x,7.914186343914056
170,Pitcher,Zack Greinke,x,x,x,x,x,x,199.0,21.0,0.0,180.0,4.27,1.24,7.909266741415616
171,Hitter,Kyle Tucker,409.0,56.0,20.0,59.0,14.0,0.315,x,x,x,x,x,x,7.840619565789113
172,Hitter,Kevin Newman,577.0,63.0,9.0,54.0,18.0,0.32899999999999996,x,x,x,x,x,x,7.826713353120617
173,Pitcher,Brandon Woodruff,x,x,x,x,x,x,183.0,18.0,0.0,201.0,4.07,1.28,7.800304395297275
174,Hitter,Nomar Mazara,523.0,66.0,25.0,77.0,3.0,0.318,x,x,x,x,x,x,7.77714689001078
175,Hitter,Hunter Renfroe,560.0,69.0,30.0,82.0,4.0,0.293,x,x,x,x,x,x,7.771559913661651
176,Hitter,Kyle Seager,593.0,69.0,26.0,78.0,3.0,0.312,x,x,x,x,x,x,7.736245220018308
177,Hitter,Jesse Winker,482.0,62.0,17.0,57.0,3.0,0.368,x,x,x,x,x,x,7.701206077606095
178,Hitter,Willy Adames,595.0,67.0,18.0,69.0,7.0,0.326,x,x,x,x,x,x,7.680462359815675
179,Pitcher,Zack Wheeler,x,x,x,x,x,x,189.0,16.5,0.0,194.0,4.13,1.23,7.667497368703432
180,Hitter,Brett Gardner,509.0,67.0,17.0,57.0,10.0,0.327,x,x,x,x,x,x,7.657258027224571
181,Pitcher,German Marquez,x,x,x,x,x,x,187.0,18.0,0.0,194.0,4.18,1.26,7.622613915813999
182,Hitter,Scott Kingery,605.0,65.0,19.0,69.0,15.0,0.294,x,x,x,x,x,x,7.618227850997785
183,Hitter,Brandon Nimmo,509.0,63.0,15.0,50.0,7.0,0.358,x,x,x,x,x,x,7.6038719920354545
184,Hitter,Anthony Santander,582.0,68.0,24.0,78.0,5.0,0.306,x,x,x,x,x,x,7.598176349158353
185,Pitcher,Eduardo Rodriguez,x,x,x,x,x,x,193.0,19.5,0.0,201.0,4.2,1.31,7.593432934598832
