,Class,Name,PA,R,HR,RBI,SB,OBP,IP,QS,SV,SO,ERA,WHIP,Total_SGPs,Dollar_Value,True_Dollar_Value
28,Hitter,Fernando Tatis Jr.,671.0,93.0,31.0,82.0,23.0,0.33299999999999996,x,x,x,x,x,x,12.973844126612649,17.891201905434063,32.866529770691876
29,Hitter,Rafael Devers,636.0,95.0,32.0,103.0,9.0,0.355,x,x,x,x,x,x,12.812234123695374,17.66833833748046,32.34994433619733
30,Hitter,Tommy Pham,652.0,92.0,25.0,76.0,18.0,0.366,x,x,x,x,x,x,12.785291421130466,17.63118378816088,32.263822144131794
31,Hitter,Kris Bryant,669.0,100.0,31.0,91.0,4.0,0.377,x,x,x,x,x,x,12.715603741697425,17.535083023353614,22.886475630062478
32,Hitter,Jose Altuve,673.0,100.0,24.0,93.0,12.0,0.361,x,x,x,x,x,x,12.65266821245084,17.448293614618056,22.742780592033952
33,Hitter,Peter Alonso,663.0,98.0,44.0,105.0,2.0,0.34299999999999997,x,x,x,x,x,x,12.631781881462107,17.419490928140835,22.69509270950348
34,Pitcher,Chris Sale,x,x,x,x,x,x,177.0,21.0,0.0,233.0,3.22,1.03,12.539905350898817,17.327581314230088,22.542920276731927
35,Hitter,Rhys Hoskins,656.0,93.0,36.0,96.0,4.0,0.365,x,x,x,x,x,x,12.532399455867544,17.282440488439867,22.468181748459042
36,Hitter,Manny Machado,664.0,93.0,37.0,102.0,7.0,0.34299999999999997,x,x,x,x,x,x,12.389125943882613,17.084863324292737,22.14105821427069
37,Hitter,Starling Marte,649.0,85.0,22.0,81.0,26.0,0.337,x,x,x,x,x,x,12.37678574791746,17.067845936430622,22.112882953814214
38,Hitter,Anthony Rendon,655.0,93.0,28.0,99.0,4.0,0.374,x,x,x,x,x,x,12.290491376074472,16.948844196092264,21.915854769701482
39,Hitter,Carlos Correa,637.0,93.0,33.0,105.0,3.0,0.359,x,x,x,x,x,x,12.193362097761048,16.814900893530922,21.69408821735786
40,Hitter,Paul Goldschmidt,663.0,91.0,31.0,91.0,5.0,0.369,x,x,x,x,x,x,12.128043218670275,16.724824795603052,21.544951490817407
41,Hitter,Charlie Blackmon,660.0,101.0,30.0,84.0,8.0,0.35600000000000004,x,x,x,x,x,x,12.106472587339947,16.695078444668642,21.49570120681371
42,Hitter,Carlos Santana,654.0,92.0,29.0,93.0,3.0,0.375,x,x,x,x,x,x,12.007922579061066,16.559175925824366,21.27069082941845
43,Hitter,Xander Bogaerts,649.0,92.0,25.0,96.0,6.0,0.368,x,x,x,x,x,x,11.899797872267838,16.41006969783791,21.023819403365867
44,Hitter,Shohei Ohtani,555.0,80.0,29.0,89.0,13.0,0.353,x,x,x,x,x,x,11.78725498605616,16.25487070819511,20.766860345300767
45,Hitter,Bo Bichette,663.0,92.0,22.0,74.0,24.0,0.32799999999999996,x,x,x,x,x,x,11.768331623004205,16.228774995483572,20.72365433105203
46,Hitter,Kyle Schwarber,585.0,86.0,37.0,90.0,5.0,0.354,x,x,x,x,x,x,11.72480379392768,16.168749210456923,20.624271150687463
47,Hitter,Matt Olson,642.0,91.0,38.0,103.0,1.0,0.344,x,x,x,x,x,x,11.607333335992523,16.00675499653457,20.35606141093795
48,Hitter,Marcus Semien,678.0,98.0,25.0,79.0,12.0,0.34700000000000003,x,x,x,x,x,x,11.557201886798936,15.93762268150277,20.241600778215368
49,Hitter,Austin Meadows,624.0,87.0,28.0,84.0,15.0,0.337,x,x,x,x,x,x,11.54648832420803,15.922848455022955,20.21713946355969
50,Hitter,Yoan Moncada,662.0,92.0,28.0,86.0,12.0,0.34,x,x,x,x,x,x,11.532918014511981,15.904134714644862,20.186155594969406
51,Hitter,Matt Chapman,656.0,95.0,34.0,97.0,3.0,0.34299999999999997,x,x,x,x,x,x,11.449308953535924,15.788836074053213,19.99525853983525
52,Hitter,Jonathan Villar,657.0,78.0,17.0,64.0,32.0,0.327,x,x,x,x,x,x,11.441109985769385,15.777529526333375,19.976538573559992
53,Hitter,Gleyber Torres,618.0,86.0,34.0,98.0,6.0,0.34,x,x,x,x,x,x,11.395778981844902,15.715017125546522,19.87303836611317
54,Hitter,Jorge Soler,637.0,87.0,35.0,96.0,3.0,0.349,x,x,x,x,x,x,11.382804898346366,15.697125593542209,19.843415807217962
55,Pitcher,Walker Buehler,x,x,x,x,x,x,194.0,21.0,0.0,225.0,3.45,1.13,11.338633589702395,15.667669732750136,19.79464648042625
56,Hitter,Ozzie Albies,652.0,89.0,24.0,82.0,14.0,0.344,x,x,x,x,x,x,11.339148001723757,15.636921821674965,19.74373793852455
57,Hitter,Eugenio Suarez,651.0,87.0,36.0,96.0,3.0,0.345,x,x,x,x,x,x,11.321406652035222,15.612456130068466,19.70323070916306
58,Hitter,Luis Robert,578.0,77.0,26.0,83.0,23.0,0.317,x,x,x,x,x,x,11.318038441064544,15.60781129682179,19.69554037574868
59,Hitter,Marcell Ozuna,634.0,82.0,31.0,100.0,7.0,0.34299999999999997,x,x,x,x,x,x,11.290774698054008,15.570214026025326,19.633291521475165
60,Hitter,Javier Baez,637.0,84.0,32.0,100.0,14.0,0.313,x,x,x,x,x,x,11.287663772499204,15.565923994738485,19.62618862472902
61,Hitter,Josh Bell,641.0,83.0,29.0,95.0,2.0,0.369,x,x,x,x,x,x,11.284962357715377,15.562198687354174,19.62002072712423
62,Hitter,Andrew Benintendi,665.0,94.0,19.0,80.0,13.0,0.353,x,x,x,x,x,x,11.264835811671352,15.53444376017773,19.574067593277544
63,Hitter,Joey Votto,670.0,91.0,23.0,76.0,4.0,0.382,x,x,x,x,x,x,11.257074544132006,15.523740810209054,19.55634698859585
64,Hitter,Max Kepler,640.0,93.0,31.0,89.0,6.0,0.34299999999999997,x,x,x,x,x,x,11.217224562165425,15.4687868531294,19.46536110601611
65,Hitter,Michael Conforto,603.0,82.0,31.0,85.0,5.0,0.358,x,x,x,x,x,x,10.99466719235269,15.16187559382929,18.957215864343873
66,Hitter,Ketel Marte,647.0,87.0,23.0,83.0,8.0,0.36,x,x,x,x,x,x,10.981002353986366,15.143031496441413,18.926016166935916
67,Hitter,Keston Hiura,613.0,79.0,29.0,92.0,12.0,0.33,x,x,x,x,x,x,10.895396531224947,15.024979279661371,18.730560085062553
68,Pitcher,Mike Clevinger,x,x,x,x,x,x,197.0,21.0,0.0,238.0,3.65,1.18,10.851767568739902,14.994920590607801,18.68079267070203
69,Pitcher,Stephen Strasburg,x,x,x,x,x,x,200.0,21.0,0.0,228.0,3.59,1.17,10.846592420093922,14.987769594929032,18.668952947272942
70,Hitter,Whit Merrifield,688.0,90.0,14.0,65.0,23.0,0.337,x,x,x,x,x,x,10.854066517172273,14.967984327436376,18.636194978228282
71,Hitter,Shin-Soo Choo,665.0,92.0,23.0,69.0,10.0,0.35600000000000004,x,x,x,x,x,x,10.819567138247853,14.920408963656357,18.557425646725818
72,Pitcher,Shane Bieber,x,x,x,x,x,x,198.0,21.0,0.0,215.0,3.66,1.13,10.777260027978741,14.891966426685839,18.51033405466238
73,Hitter,Justin Turner,620.0,87.0,26.0,85.0,3.0,0.364,x,x,x,x,x,x,10.730292525814136,14.797297409324925,18.353592947101056
74,Hitter,Lorenzo Cain,656.0,85.0,16.0,65.0,19.0,0.349,x,x,x,x,x,x,10.730068872725818,14.79698898704693,18.353082300103804
75,Hitter,Andrew McCutchen,590.0,83.0,27.0,74.0,8.0,0.359,x,x,x,x,x,x,10.717804144390543,14.780075670621956,18.32507934810439
76,Hitter,Miguel Sano,581.0,84.0,37.0,97.0,1.0,0.337,x,x,x,x,x,x,10.713904573445578,14.77469808087754,18.31617580821299
77,Hitter,Edwin Encarnacion,578.0,81.0,35.0,92.0,2.0,0.34600000000000003,x,x,x,x,x,x,10.683129736732448,14.732258938564124,18.245910389223862
78,Hitter,Victor Robles,609.0,71.0,17.0,71.0,27.0,0.326,x,x,x,x,x,x,10.677123377045659,14.72397604316132,18.232196607931474
79,Hitter,Jose Abreu,658.0,87.0,32.0,101.0,3.0,0.33299999999999996,x,x,x,x,x,x,10.669214898619396,14.713070086306267,18.214139889861258
80,Hitter,Vladimir Guerrero Jr.,622.0,86.0,25.0,87.0,3.0,0.363,x,x,x,x,x,x,10.636944330341608,14.668568298938814,18.140459401409093
81,Hitter,Adam Eaton,656.0,90.0,15.0,65.0,12.0,0.366,x,x,x,x,x,x,10.546664439934592,14.544070445295022,17.934331440930425
82,Pitcher,Blake Snell,x,x,x,x,x,x,179.0,19.5,0.0,224.0,3.41,1.18,10.524770957737273,14.543078235496276,17.93268866415794
83,Hitter,Khris Davis,628.0,85.0,38.0,103.0,1.0,0.321,x,x,x,x,x,x,10.450986820810863,14.412129011062547,17.715879331556707
84,Pitcher,Clayton Kershaw,x,x,x,x,x,x,194.0,21.0,0.0,198.0,3.53,1.16,10.32997323228408,14.27390766895964,17.487029736897686
85,Pitcher,Charlie Morton,x,x,x,x,x,x,192.0,19.5,0.0,221.0,3.5,1.19,10.318555898357037,14.25813125147668,17.460909119840885
86,Hitter,Mike Moustakas,626.0,82.0,36.0,97.0,3.0,0.32299999999999995,x,x,x,x,x,x,10.281451513673838,14.178336283133401,17.328794600596765
87,Hitter,Max Muncy,589.0,81.0,29.0,79.0,4.0,0.355,x,x,x,x,x,x,10.279936491717784,14.176247036226902,17.32533548711677
88,Hitter,Byron Buxton,542.0,73.0,20.0,73.0,23.0,0.317,x,x,x,x,x,x,10.276599852258736,14.17164574075388,17.317717238097554
89,Hitter,Eddie Rosario,634.0,86.0,30.0,102.0,5.0,0.32,x,x,x,x,x,x,10.267217951446272,14.158707903667628,17.29629638710663
90,Pitcher,Jack Flaherty,x,x,x,x,x,x,192.0,18.0,0.0,229.0,3.6,1.17,10.199437507271721,14.093534027670431,17.188389642190057
91,Hitter,Mallex Smith,588.0,66.0,7.0,48.0,39.0,0.318,x,x,x,x,x,x,10.13701117768745,13.979150044328486,16.999006962026243
92,Hitter,Jeff McNeil,660.0,88.0,20.0,73.0,9.0,0.348,x,x,x,x,x,x,10.055587964624127,13.866865733642427,16.81310065699298
93,Hitter,Franmil Reyes,572.0,80.0,36.0,93.0,1.0,0.32899999999999996,x,x,x,x,x,x,10.01733971887085,13.814120604240353,16.725771874764018
94,Hitter,Jorge Polanco,664.0,91.0,19.0,82.0,7.0,0.344,x,x,x,x,x,x,9.987769034288682,13.773342012854608,16.65825578812056
95,Hitter,Michael Brantley,621.0,85.0,21.0,87.0,5.0,0.349,x,x,x,x,x,x,9.983032921042554,13.7668108138124,16.647442246371448
96,Hitter,Trey Mancini,657.0,86.0,30.0,90.0,1.0,0.33799999999999997,x,x,x,x,x,x,9.953368933373012,13.72590355552128,16.579713129173527
97,Hitter,Ramon Laureano,597.0,76.0,23.0,79.0,14.0,0.327,x,x,x,x,x,x,9.923696977186683,13.68498530847915,16.51196581817739
98,Hitter,Justin Upton,624.0,81.0,30.0,91.0,5.0,0.325,x,x,x,x,x,x,9.841070273893411,13.571041359640736,16.323311692057565
99,Hitter,DJ LeMahieu,683.0,93.0,19.0,74.0,7.0,0.345,x,x,x,x,x,x,9.824716030776354,13.548488516954919,16.285971518474135
100,Hitter,Eloy Jimenez,590.0,80.0,33.0,95.0,1.0,0.32899999999999996,x,x,x,x,x,x,9.815636666421076,13.535967883959175,16.265241421787493
101,Pitcher,Patrick Corbin,x,x,x,x,x,x,192.0,19.5,0.0,217.0,3.57,1.23,9.756343620213151,13.481269011069223,16.174677875675673
102,Hitter,Nicholas Castellanos,661.0,88.0,27.0,90.0,3.0,0.331,x,x,x,x,x,x,9.773113344760755,13.477327335630562,16.16815174293311
103,Hitter,Paul DeJong,642.0,79.0,29.0,89.0,7.0,0.322,x,x,x,x,x,x,9.74380648261103,13.436912560886975,11.500884298814597
104,Hitter,Joc Pederson,502.0,77.0,32.0,75.0,3.0,0.34600000000000003,x,x,x,x,x,x,9.709668449684814,13.389835500782297,11.445209796915846
105,Hitter,Elvis Andrus,666.0,77.0,14.0,74.0,22.0,0.318,x,x,x,x,x,x,9.707368957629312,13.386664453231282,11.441459637230711
106,Hitter,Corey Seager,635.0,85.0,24.0,84.0,2.0,0.348,x,x,x,x,x,x,9.682166646539246,13.351909940089644,11.400358085783129
107,Hitter,Yuli Gurriel,620.0,81.0,24.0,93.0,5.0,0.332,x,x,x,x,x,x,9.65044590078998,13.308166369467664,11.348625851437214
108,Hitter,Oscar Mercado,617.0,77.0,16.0,67.0,23.0,0.313,x,x,x,x,x,x,9.629502303687511,13.279284711824056,11.314469684936126
109,Hitter,Bryan Reynolds,658.0,83.0,19.0,74.0,7.0,0.35100000000000003,x,x,x,x,x,x,9.621767426142712,13.268618154208806,11.30185514866552
110,Hitter,Cavan Biggio,592.0,76.0,20.0,66.0,12.0,0.345,x,x,x,x,x,x,9.548031158209904,13.166934301338014,11.181601295788147
111,Hitter,Jean Segura,673.0,85.0,16.0,71.0,13.0,0.33399999999999996,x,x,x,x,x,x,9.492947425153801,13.090972683471016,11.091767197635834
112,Hitter,Tim Anderson,638.0,78.0,21.0,79.0,17.0,0.308,x,x,x,x,x,x,9.48887888785982,13.085362085603794,11.085131965084779
113,Hitter,Yasiel Puig,514.0,64.0,23.0,75.0,13.0,0.335,x,x,x,x,x,x,9.416717977843373,12.985850684188401,10.967447307318812
114,Pitcher,Yu Darvish,x,x,x,x,x,x,185.0,18.0,0.0,221.0,3.87,1.19,9.34573454283707,12.913891349316371,10.882346408557163
115,Pitcher,Aaron Nola,x,x,x,x,x,x,198.0,19.5,0.0,221.0,3.82,1.24,9.335028816974564,12.899098228457836,10.86485169598385
116,Hitter,David Dahl,578.0,75.0,23.0,79.0,9.0,0.331,x,x,x,x,x,x,9.323187834880935,12.856870664415187,10.81491232871573
117,Hitter,Mark Canha,594.0,77.0,25.0,80.0,4.0,0.342,x,x,x,x,x,x,9.313288516151431,12.843219297219207,10.798767882414657
118,Hitter,Yasmani Grandal,544.0,74.0,25.0,73.0,3.0,0.358,x,x,x,x,x,x,9.30757499816484,12.835340236634632,10.78944990944648
119,Pitcher,Trevor Bauer,x,x,x,x,x,x,200.0,18.0,0.0,238.0,3.93,1.24,9.221517334051311,12.742248603567285,10.679357429362948
120,Hitter,Ryan Braun,532.0,69.0,25.0,80.0,9.0,0.32899999999999996,x,x,x,x,x,x,9.228646413063727,12.726496069988785,10.660728091450244
121,Hitter,Rougned Odor,573.0,71.0,28.0,79.0,13.0,0.302,x,x,x,x,x,x,9.135593838709397,12.598174627296348,10.508971962479068
122,Hitter,Nick Senzel,597.0,74.0,18.0,63.0,17.0,0.32299999999999995,x,x,x,x,x,x,9.07144231718977,12.509708339830008,10.404349531117246
123,Hitter,Amed Rosario,625.0,69.0,15.0,68.0,20.0,0.318,x,x,x,x,x,x,8.984720835416539,12.390117605981072,10.262918555522333
124,Pitcher,Carlos Carrasco,x,x,x,x,x,x,173.0,18.0,0.0,189.0,3.81,1.17,8.839075780750543,12.213792692033268,10.054392327789436
125,Hitter,Lourdes Gurriel Jr.,591.0,74.0,27.0,84.0,8.0,0.307,x,x,x,x,x,x,8.798505843455201,12.133323244457559,9.959227158131805
126,Hitter,David Peralta,605.0,77.0,22.0,77.0,3.0,0.342,x,x,x,x,x,x,8.793896633671544,12.126967047939461,9.951710162076228
127,Hitter,Brandon Lowe,611.0,75.0,25.0,78.0,7.0,0.321,x,x,x,x,x,x,8.790661371324898,12.122505553620892,9.946433887955502
128,Hitter,Jackie Bradley Jr.,576.0,73.0,20.0,72.0,11.0,0.325,x,x,x,x,x,x,8.77764390082989,12.104554190042652,9.925204159008945
129,Pitcher,Luis Castillo,x,x,x,x,x,x,190.0,18.0,0.0,215.0,3.85,1.25,8.745442798197095,12.084411083999642,9.901382420923664
130,Pitcher,Noah Syndergaard,x,x,x,x,x,x,195.0,18.0,0.0,200.0,3.89,1.21,8.704117972656068,12.027308637464255,9.833851647740564
131,Hitter,Brian Anderson,651.0,75.0,21.0,75.0,5.0,0.33899999999999997,x,x,x,x,x,x,8.720038537801983,12.025115191800488,9.83125762435632
132,Hitter,Kolten Wong,577.0,62.0,12.0,61.0,16.0,0.34700000000000003,x,x,x,x,x,x,8.672561309326806,11.959643102551517,9.753828703580448
133,Hitter,Eduardo Escobar,651.0,79.0,25.0,86.0,4.0,0.317,x,x,x,x,x,x,8.639675198339354,11.914292468936758,9.700195916578043
134,Hitter,Aristides Aquino,552.0,68.0,32.0,87.0,7.0,0.295,x,x,x,x,x,x,8.609720267526551,11.872983993977062,9.651343486913477
135,Hitter,Eric Hosmer,642.0,76.0,24.0,82.0,3.0,0.327,x,x,x,x,x,x,8.53348705198897,11.767856798230536,9.527017451129073
136,Pitcher,David Price,x,x,x,x,x,x,164.0,18.0,0.0,175.0,3.69,1.19,8.508027314348947,11.756351502486039,9.513411002290736
137,Pitcher,Tyler Glasnow,x,x,x,x,x,x,163.0,16.5,0.0,202.0,3.69,1.23,8.503322695491828,11.749850682621929,9.505722971069957
138,Hitter,Willie Calhoun,549.0,71.0,25.0,79.0,2.0,0.335,x,x,x,x,x,x,8.47892722350754,11.69261765570956,9.438037770286002
139,Hitter,Danny Santana,579.0,69.0,20.0,70.0,18.0,0.295,x,x,x,x,x,x,8.445865422096192,11.64702474133236,9.384118456029373
140,Hitter,Brandon Belt,566.0,69.0,18.0,64.0,5.0,0.358,x,x,x,x,x,x,8.439816642780686,11.638683348375961,9.374253717301933
141,Hitter,J.T. Realmuto,537.0,69.0,23.0,75.0,6.0,0.32899999999999996,x,x,x,x,x,x,8.433798674819206,11.630384444920015,9.364439227714259
142,Hitter,Matt Carpenter,540.0,72.0,21.0,59.0,5.0,0.35200000000000004,x,x,x,x,x,x,8.418043601580194,11.608657870004885,9.338744839966223
143,Hitter,Gregory Polanco,556.0,67.0,22.0,71.0,9.0,0.325,x,x,x,x,x,x,8.387672994545605,11.566776168857277,9.289214498758005
144,Hitter,Miguel Cabrera,603.0,71.0,20.0,77.0,1.0,0.35,x,x,x,x,x,x,8.367691573924665,11.53922137266905,9.256627511607782
145,Hitter,Gary Sanchez,459.0,66.0,31.0,78.0,1.0,0.324,x,x,x,x,x,x,8.311521623180894,11.4617618379338,9.165021939719812
146,Hitter,Christian Walker,566.0,68.0,24.0,78.0,5.0,0.325,x,x,x,x,x,x,8.295032780090148,11.439023379074222,9.138130872857575
147,Hitter,C.J. Cron,530.0,68.0,28.0,79.0,2.0,0.324,x,x,x,x,x,x,8.255088788011927,11.383939780087966,9.07298763898674
148,Hitter,Mitch Haniger,555.0,70.0,22.0,65.0,6.0,0.335,x,x,x,x,x,x,8.21283223351677,11.325667109249409,9.004072929443875
149,Hitter,Renato Nunez,608.0,72.0,29.0,85.0,2.0,0.311,x,x,x,x,x,x,8.194657835597823,11.300604235092429,8.974432951251988
150,Pitcher,Luis Severino,x,x,x,x,x,x,171.0,18.0,0.0,186.0,3.98,1.21,8.176700273360808,11.298525379905797,8.97197444541542
151,Pitcher,Chris Paddack,x,x,x,x,x,x,166.0,16.5,0.0,178.0,3.87,1.17,8.1656347512795,11.283235094350768,8.953891773509566
152,Hitter,Andrelton Simmons,633.0,71.0,13.0,73.0,11.0,0.32799999999999996,x,x,x,x,x,x,8.18014685377916,11.280593288218846,8.950767507886749
153,Hitter,Kole Calhoun,576.0,71.0,23.0,71.0,4.0,0.332,x,x,x,x,x,x,8.175284526596366,11.27388803752301,8.94283771168096
154,Hitter,Hunter Dozier,628.0,73.0,22.0,81.0,4.0,0.322,x,x,x,x,x,x,8.14400879948185,11.230758156889001,8.891831242374915
155,Hitter,Daniel Murphy,549.0,70.0,20.0,77.0,2.0,0.341,x,x,x,x,x,x,8.119240656751723,11.196602370979845,8.85143776064041
156,Hitter,Cesar Hernandez,578.0,71.0,11.0,56.0,9.0,0.35600000000000004,x,x,x,x,x,x,8.114405534693072,11.189934636718162,8.843552332302533
157,Hitter,Niko Goodrum,636.0,72.0,18.0,70.0,13.0,0.309,x,x,x,x,x,x,8.09708428462338,11.166048271256464,8.815303722548775
158,Hitter,Yandy Diaz,586.0,69.0,13.0,63.0,5.0,0.361,x,x,x,x,x,x,8.088669803744503,11.154444526455448,8.80158084540818
159,Hitter,Dansby Swanson,605.0,69.0,18.0,67.0,10.0,0.325,x,x,x,x,x,x,8.075767537788437,11.136652032341534,8.78053899944064
160,Hitter,Didi Gregorius,600.0,70.0,24.0,83.0,6.0,0.308,x,x,x,x,x,x,8.056320107189327,11.109833619541515,8.748822877596222
161,Hitter,Randal Grichuk,548.0,71.0,30.0,84.0,3.0,0.298,x,x,x,x,x,x,7.992161132956201,11.021357054627666,8.644188291869382
162,Pitcher,Andrew Heaney,x,x,x,x,x,x,168.0,16.5,0.0,182.0,4.01,1.18,7.969410644794433,11.012093561317712,8.633233054334845
163,Pitcher,Max Fried,x,x,x,x,x,x,172.0,18.0,0.0,178.0,3.6,1.29,7.967097681033536,11.00889751904129,8.6294533352659
164,Pitcher,Lucas Giolito,x,x,x,x,x,x,191.0,18.0,0.0,219.0,4.26,1.27,7.948412671893996,10.983078662665367,8.598919313703648
165,Hitter,Ryan McMahon,532.0,64.0,20.0,72.0,5.0,0.337,x,x,x,x,x,x,7.962148939582595,10.979969613401154,8.595242474734118
166,Pitcher,Lance Lynn,x,x,x,x,x,x,192.0,18.0,0.0,207.0,4.07,1.28,7.922923531738154,10.947857890552562,8.557266352802749
167,Pitcher,Zack Greinke,x,x,x,x,x,x,199.0,21.0,0.0,180.0,4.27,1.24,7.909266741415616,10.92898700291957,8.534949171844177
168,Hitter,Trent Grisham,522.0,66.0,18.0,56.0,10.0,0.335,x,x,x,x,x,x,7.918946739641595,10.92039287775055,8.524785545717641
169,Hitter,Kevin Kiermaier,555.0,63.0,17.0,62.0,18.0,0.302,x,x,x,x,x,x,7.918321624581279,10.919530831031851,8.523766067832437
170,Hitter,Justin Smoak,472.0,63.0,24.0,68.0,1.0,0.349,x,x,x,x,x,x,7.914186343914056,10.913828192659532,8.517021985891434
171,Hitter,Kyle Tucker,409.0,56.0,20.0,59.0,14.0,0.315,x,x,x,x,x,x,7.840619565789113,10.812378069772222,8.397044547904466
172,Hitter,Kevin Newman,577.0,63.0,9.0,54.0,18.0,0.32899999999999996,x,x,x,x,x,x,7.826713353120617,10.793201112182482,8.3743654010043
173,Pitcher,Brandon Woodruff,x,x,x,x,x,x,183.0,18.0,0.0,201.0,4.07,1.28,7.800304395297275,10.778423353536082,8.356888856165078
174,Hitter,Nomar Mazara,523.0,66.0,25.0,77.0,3.0,0.318,x,x,x,x,x,x,7.77714689001078,10.72484792475538,8.293529221881517
175,Hitter,Hunter Renfroe,560.0,69.0,30.0,82.0,4.0,0.293,x,x,x,x,x,x,7.771559913661651,10.717143367730673,8.28441762116246
176,Hitter,Kyle Seager,593.0,69.0,26.0,78.0,3.0,0.312,x,x,x,x,x,x,7.736245220018308,10.668443667931939,8.226824145212941
177,Hitter,Jesse Winker,482.0,62.0,17.0,57.0,3.0,0.368,x,x,x,x,x,x,7.701206077606095,10.620123959033615,8.16968005595112
178,Pitcher,Zack Wheeler,x,x,x,x,x,x,189.0,16.5,0.0,194.0,4.13,1.23,7.667497368703432,10.594911238570958,8.139862865792058
179,Hitter,Willy Adames,595.0,67.0,18.0,69.0,7.0,0.326,x,x,x,x,x,x,7.680462359815675,10.591517939134205,8.135849865500296
